id,name,sport_id,suitable_phase,space,group_size,base_duration_min,difficulty_base,compatible_fms_categories,flow_1,flow_2,flow_3,flow_4,teaching_tips,equipment,description
touch_dodgeball_class,공 터치 피구,dodge_touch,응용,교실|체육관,8,10,2,조작|이동,공 소유자는 이동 불가 규칙을 안내한다,패스와 터치로 아웃을 만든다,아웃 학생은 체력 과제 후 재참여한다,정해진 시간 후 점수로 승패를 정한다,얼굴 조준 금지와 강투 금지를 반복 안내,폼볼|팀조끼|기회팔찌,안전 규칙 중심의 교실형 피구 활동
cup_volleyball_class,컵 배구,cup_volleyball,응용,교실|체육관,4,10,2,조작|이동,컵으로 공을 다루는 기본 동작을 연습한다,원바운드 받기와 직접 받기를 번갈아 수행한다,소규모 팀으로 네트형 랠리를 진행한다,랠리 횟수 목표를 두고 재도전한다,컵 각도와 공 높이 조절을 짧게 피드백,스태킹컵|풍선공|네트,라켓 대체 도구로 네트형 감각을 익히는 활동
gaga_ball_mine,지뢰 가가볼,gaga_ball,챌린지,교실|체육관,6,10,3,조작|이동,원형 경기장과 지뢰 마커를 배치한다,원바운드 타구로 생존하며 지뢰를 회피한다,공 맞음 또는 지뢰 밟으면 아웃 처리한다,남은 인원으로 다음 라운드를 시작한다,지뢰 구역 시각 표식을 크게 배치,풍선공|원마커|콘,가가볼에 회피 과제를 추가한 변형 활동
all_touch_hand_jokgu,올터치 손족구,hand_jokgu,챌린지,체육관|운동장,4,10,3,조작|이동,팀원 전원 1회 터치 규칙을 안내한다,연결 후 네트 너머 반환을 수행한다,성공 랠리 누적으로 팀 점수를 계산한다,올터치 미충족 시 상대 점수로 전환한다,터치 순서 구호를 먼저 정하게 지도,폼볼|네트|팀조끼,협동과 연결 패턴을 강화하는 네트형 활동
finger_baseball_2v2,핑거 베이스볼 2대2,finger_baseball,응용,교실,2,10,2,조작|이동,숫자 야구로 타순과 점수 규칙을 이해한다,손가락 타격과 진루 판단으로 공격을 수행한다,수비는 베이스 커버와 빠른 송구를 실행한다,공수 교대 후 누적 점수로 승패를 정한다,규칙 이해가 느린 학생은 2대2로 시작,보드판|미니볼|카드,필드형 규칙 이해와 판단을 기르는 보드 스포츠 활동
finger_volleyball_2v2,핑거 발리볼 2대2,finger_volleyball,응용,교실,2,10,2,조작|이동,탭 동작과 네트 규칙을 확인한다,2인 랠리로 연결 후 상대 코트로 보낸다,랠리 유지 성공 횟수로 점수를 기록한다,1대1 배틀로 난이도를 조절해 확장한다,짧은 랠리 목표부터 점진적으로 확장,보드판|미니볼|네트선,네트형 의사소통과 탭 정확도를 기르는 활동
zombie_tag,부산행 좀비 술래,tag_chase_play,기본,교실|체육관,10,8,1,이동|비이동,초기 술래를 소수로 정한다,술래가 태그한 학생은 좀비 술래가 된다,도망자는 생존 구역을 오가며 회피한다,모든 학생이 술래가 되면 라운드를 종료한다,태그 강도는 가볍게 유지하도록 지도,팀조끼|펀스틱|콘,연쇄 추격 규칙으로 몰입도를 높인 술래 활동
rainbow_tag,레인보우 술래,tag_chase_play,응용,체육관|운동장,10,8,2,이동|비이동,무지개 색 안전 구역을 배치한다,태그된 학생은 지정 구역으로 이동한다,점핑 또는 호핑 과제 후 재참여한다,술래 수를 조정하며 라운드를 반복한다,색 구역 간 간격을 충분히 확보,원마커|팀조끼|콘,부활 규칙이 포함된 추격형 술래 활동
exercise_task_tag,친구야 운동 좀 해 술래,tag_chase_play,응용,체육관|운동장,10,8,2,이동|비이동|조작,술래 태그 시 과제 번호를 함께 제시한다,태그된 학생은 해당 콘에서 과제를 수행한다,과제 완료 후 게임에 재참여한다,정해진 시간 동안 수행 횟수를 기록한다,과제 강도는 학년 체력에 맞춰 조절,콘폴더|과제카드|팀조끼,운동 과제를 결합한 체력형 술래 활동
elephant_tag,앨리펀트 술래,tag_chase_play,챌린지,체육관|운동장,10,8,3,이동|비이동,술래 도구를 코끼리 코 형태로 준비한다,술래는 회전 후 태그를 시도한다,태그된 학생은 지정 회전 과제를 수행한다,과제 후 재참여하며 라운드를 반복한다,회전 후 어지러움 확인 시간을 확보,펀스틱|접시콘|팀조끼,균형과 회복 조절을 함께 다루는 변형 술래 활동
